customId,name,status,projectType,address,projectCapacityDc,projectCapacityAc,cod_date,signed_date
15848107,DGL,Commissioned,OPEX,,1280.40,930.00,2025-05-20,2024-01-01
11605154,NAL (GGI),Commissioned,OPEX,,227.04,210.00,2023-11-06,2023-01-01
11811249,ACCL (GGI),Commissioned,OPEX,,285.12,220.00,2023-12-03,2023-01-03
11701955,CAL (GGI),Commissioned,OPEX,,522.72,380.00,2023-11-26,2023-01-02
11838318,HKL (GGI),Commissioned,OPEX,,269.28,220.00,2023-12-17,2023-01-01
12018942,ACML (GGI),Commissioned,OPEX,,554.00,380.00,2024-01-17,2023-01-02
142842,Divine Group,In Progress,OPEX,,1693.00,1200.00,,2025-09-04
867743,Coats Bd Ltd,In Progress,OPEX,,455.00,350.00,,2025-09-04
408018,Unifill Composite Dying Ltd.,In Progress,OPEX,,1145.00,880.00,,2025-09-02
251056,Dekko Garments Ltd.-Phase-4,In Progress,OPEX,,427.68,330.00,,2024-01-30
612800,Isho Ltd.,In Progress,OPEX,,254.76,220.00,,2024-01-01
587422,Dekko Garments Ltd.-2,In Progress,OPEX,,1200.00,990.00,,2025-09-02
378687,UTAH Group,Project Pipeline,OPEX,,3000.00,2500.00,,
187140,DHL BD,Project Pipeline,OPEX,,570.00,440.00,,
296711,Simco Spining Mill,Project Pipeline,OPEX,,1700.00,1200.00,,
571359,Preety Group,Project Pipeline,OPEX,,800.00,650.00,,
